frame_id,timestamp_ms,stagger_mm,diameter_mm,confidence,anomalies
239,7966.7,-67.950,2.658,0.592,DIAMETER_LOW
240,8000.0,-75.200,4.507,0.334,DIAMETER_LOW
241,8033.3,,,0.178,
242,8066.7,-73.200,4.121,0.394,DIAMETER_LOW
243,8100.0,,,0.136,
244,8133.3,-74.600,5.000,0.228,DIAMETER_LOW
245,8166.7,-74.600,5.000,0.228,DIAMETER_LOW
246,8200.0,,,0.177,
247,8233.3,-62.400,4.173,0.272,DIAMETER_LOW
248,8266.7,-70.450,4.126,0.311,DIAMETER_LOW
249,8300.0,-70.450,4.123,0.311,DIAMETER_LOW
250,8333.3,-78.200,4.137,0.231,DIAMETER_LOW
251,8366.7,-78.500,4.270,0.238,DIAMETER_LOW
252,8400.0,,,0.191,
253,8433.3,-72.700,0.735,0.438,DIAMETER_LOW
254,8466.7,,,0.158,
255,8500.0,,,0.112,
256,8533.3,,,0.081,
257,8566.7,,,0.109,
258,8600.0,,,0.116,
259,8633.3,,,0.178,
260,8666.7,,,0.117,
261,8700.0,,,0.109,
262,8733.3,,,0.077,
263,8766.7,,,0.113,
264,8800.0,,,0.133,
265,8833.3,,,0.128,
266,8866.7,,,0.081,
267,8900.0,,,0.084,
268,8933.3,,,0.150,
269,8966.7,,,0.084,
270,9000.0,,,0.094,
271,9033.3,,,0.104,
272,9066.7,,,0.102,
273,9100.0,,,0.155,
274,9133.3,-42.100,0.743,0.327,DIAMETER_LOW
275,9166.7,-46.150,0.835,0.200,DIAMETER_LOW
276,9200.0,,,0.182,
277,9233.3,-43.050,1.639,0.296,DIAMETER_LOW
278,9266.7,-44.550,1.378,0.214,DIAMETER_LOW
279,9300.0,-39.850,2.412,0.254,DIAMETER_LOW
280,9333.3,-41.650,1.885,0.266,DIAMETER_LOW
281,9366.7,-41.900,2.735,0.322,DIAMETER_LOW
282,9400.0,,,0.120,
283,9433.3,,,0.185,
284,9466.7,-42.050,2.085,0.327,DIAMETER_LOW
285,9500.0,,,0.182,
286,9533.3,-42.150,2.186,0.327,DIAMETER_LOW
287,9566.7,,,0.120,
288,9600.0,-44.100,1.241,0.252,DIAMETER_LOW
289,9633.3,,,0.161,
290,9666.7,,,0.139,
291,9700.0,,,0.179,
292,9733.3,-72.850,3.137,0.248,DIAMETER_LOW
293,9766.7,-73.050,4.650,0.255,DIAMETER_LOW
294,9800.0,-68.450,0.521,0.248,DIAMETER_LOW
295,9833.3,-60.650,1.795,0.258,DIAMETER_LOW
296,9866.7,-72.900,4.381,0.266,DIAMETER_LOW
297,9900.0,-58.950,5.000,0.261,DIAMETER_LOW
298,9933.3,-75.600,5.000,0.338,DIAMETER_LOW
299,9966.7,-43.400,1.531,0.281,DIAMETER_LOW
300,10000.0,,,0.138,
301,10033.3,,,0.156,
302,10066.7,-76.200,3.929,0.338,DIAMETER_LOW
303,10100.0,,,0.138,
304,10133.3,-74.500,0.134,0.300,DIAMETER_LOW
305,10166.7,-58.800,5.000,0.316,DIAMETER_LOW
306,10200.0,-70.750,4.071,0.314,DIAMETER_LOW
307,10233.3,-64.950,2.131,0.380,DIAMETER_LOW
308,10266.7,-72.500,1.155,0.456,DIAMETER_LOW
309,10300.0,-66.850,1.484,0.320,DIAMETER_LOW
310,10333.3,-66.700,2.222,0.531,DIAMETER_LOW
311,10366.7,-68.500,1.537,0.597,DIAMETER_LOW
312,10400.0,-73.550,2.129,0.420,DIAMETER_LOW
313,10433.3,-75.850,1.271,0.336,DIAMETER_LOW
314,10466.7,-71.600,1.981,0.466,DIAMETER_LOW
315,10500.0,-67.350,0.649,0.595,DIAMETER_LOW
316,10533.3,-67.350,0.137,0.595,DIAMETER_LOW
317,10566.7,-70.850,0.118,0.483,DIAMETER_LOW
318,10600.0,-70.850,0.118,0.483,DIAMETER_LOW
319,10633.3,-67.100,4.037,0.594,DIAMETER_LOW
320,10666.7,,,0.059,
321,10700.0,-57.850,4.267,0.305,DIAMETER_LOW
322,10733.3,,,0.050,
323,10766.7,-67.350,5.000,0.592,DIAMETER_LOW
324,10800.0,-71.550,3.796,0.477,DIAMETER_LOW
325,10833.3,-60.500,2.564,0.369,DIAMETER_LOW
326,10866.7,-56.900,1.240,0.269,DIAMETER_LOW
327,10900.0,-70.000,1.811,0.484,DIAMETER_LOW
328,10933.3,-70.550,1.675,0.464,DIAMETER_LOW
329,10966.7,-40.450,3.454,0.262,DIAMETER_LOW
330,11000.0,-57.550,4.919,0.317,DIAMETER_LOW
331,11033.3,-75.000,4.211,0.334,DIAMETER_LOW
332,11066.7,-75.700,4.556,0.338,DIAMETER_LOW
333,11100.0,-67.800,0.207,0.594,DIAMETER_LOW
334,11133.3,-58.850,2.316,0.317,DIAMETER_LOW
335,11166.7,-63.200,1.777,0.447,DIAMETER_LOW
336,11200.0,-76.200,4.406,0.344,DIAMETER_LOW
337,11233.3,-62.300,4.283,0.306,DIAMETER_LOW
338,11266.7,,,0.149,
339,11300.0,-70.300,2.156,0.507,DIAMETER_LOW
340,11333.3,,,0.058,
341,11366.7,-70.500,1.419,0.497,DIAMETER_LOW
342,11400.0,-78.000,0.982,0.263,DIAMETER_LOW
343,11433.3,-67.750,2.388,0.239,DIAMETER_LOW
344,11466.7,,,0.183,
345,11500.0,-66.100,2.194,0.531,DIAMETER_LOW
346,11533.3,-58.550,1.808,0.298,DIAMETER_LOW
347,11566.7,-73.100,1.536,0.435,DIAMETER_LOW
348,11600.0,-70.050,2.261,0.258,DIAMETER_LOW
349,11633.3,-67.200,3.811,0.416,DIAMETER_LOW
350,11666.7,-73.950,1.482,0.411,DIAMETER_LOW
351,11700.0,-73.450,1.066,0.436,DIAMETER_LOW
352,11733.3,-67.700,3.729,0.250,DIAMETER_LOW
353,11766.7,-74.350,1.491,0.411,DIAMETER_LOW
354,11800.0,-63.750,4.786,0.445,DIAMETER_LOW
355,11833.3,-68.150,3.024,0.352,DIAMETER_LOW
356,11866.7,-74.150,1.525,0.408,DIAMETER_LOW
357,11900.0,-70.400,0.780,0.516,DIAMETER_LOW
358,11933.3,-71.050,3.709,0.492,DIAMETER_LOW
359,11966.7,-67.950,1.706,0.364,DIAMETER_LOW
