frame_id,timestamp_ms,stagger_mm,diameter_mm,confidence,wire_bbox,anomaly_types,anomaly_severities,latitude,longitude,speed_kmh,video_clip
0,,,,0.0000,,,,,,,
1,16.667,,,0.0000,,,,,,,
2,33.333,,,0.0000,,,,,,,
3,50.000,,,0.0000,,,,,,,
4,66.667,,,0.0000,,,,,,,
5,83.333,,,0.0000,,,,,,,
6,100.000,,,0.0000,,,,,,,
7,116.667,,,0.0000,,,,,,,
8,133.333,,,0.0000,,,,,,,
9,150.000,,,0.0000,,,,,,,
10,166.667,,,0.0000,,,,,,,
11,183.333,,,0.0000,,,,,,,
12,200.000,,,0.0000,,,,,,,
13,216.667,,,0.0000,,,,,,,
14,233.333,,,0.0000,,,,,,,
15,250.000,,,0.0000,,,,,,,
16,266.667,,,0.0000,,,,,,,
17,283.333,,,0.0000,,,,,,,
18,300.000,,,0.0000,,,,,,,
19,316.667,,,0.0000,,,,,,,
20,333.333,,,0.0000,,,,,,,
21,350.000,,,0.0000,,,,,,,
22,366.667,,,0.0000,,,,,,,
23,383.333,,,0.0000,,,,,,,
24,400.000,,,0.0000,,,,,,,
25,416.667,,,0.0000,,,,,,,
26,433.333,,,0.0000,,,,,,,
27,450.000,,,0.0000,,,,,,,
28,466.667,,,0.0000,,,,,,,
29,483.333,,,0.0000,,,,,,,
30,500.000,,,0.0000,,,,,,,
31,516.667,,,0.0000,,,,,,,
32,533.333,,,0.0000,,,,,,,
33,550.000,,,0.0000,,,,,,,
34,566.667,,,0.0000,,,,,,,
35,583.333,,,0.0000,,,,,,,
36,600.000,,,0.0000,,,,,,,
37,616.667,,,0.0000,,,,,,,
38,633.333,,,0.0000,,,,,,,
39,650.000,,,0.0000,,,,,,,
40,666.667,,,0.0000,,,,,,,
41,683.333,,,0.0000,,,,,,,
42,700.000,,,0.0000,,,,,,,
43,716.667,,,0.0000,,,,,,,
44,733.333,,,0.0000,,,,,,,
45,750.000,,,0.0000,,,,,,,
46,766.667,,,0.0000,,,,,,,
47,783.333,,,0.0000,,,,,,,
48,800.000,,,0.0000,,,,,,,
49,816.667,,,0.0000,,,,,,,
50,833.333,,,0.0000,,,,,,,
51,850.000,,,0.0000,,,,,,,
52,866.667,,,0.0000,,,,,,,
53,883.333,,,0.0000,,,,,,,
54,900.000,,,0.0000,,,,,,,
55,916.667,,,0.0000,,,,,,,
56,933.333,,,0.0000,,,,,,,
57,950.000,,,0.0000,,,,,,,
58,966.667,,,0.0000,,,,,,,
59,983.333,,,0.0000,,,,,,,
60,1000.000,,,0.0000,,,,,,,
61,1016.667,,,0.0000,,,,,,,
62,1033.333,,,0.0000,,,,,,,
63,1050.000,,,0.0000,,,,,,,
64,1066.667,,,0.0000,,,,,,,
65,1083.333,,,0.0000,,,,,,,
66,1100.000,,,0.0000,,,,,,,
67,1116.667,,,0.0000,,,,,,,
68,1133.333,,,0.0000,,,,,,,
69,1150.000,,,0.0000,,,,,,,
70,1166.667,,,0.0000,,,,,,,
71,1183.333,,,0.0000,,,,,,,
72,1200.000,,,0.0000,,,,,,,
73,1216.667,,,0.0000,,,,,,,
74,1233.333,,,0.0000,,,,,,,
75,1250.000,,,0.0000,,,,,,,
