session_id,frame_id,timestamp_ms,stagger_mm,diameter_mm,confidence,anomaly_types,anomaly_severities
20260309T100953_4da63b,0,0.000,,,0.0000,,
20260309T100953_4da63b,1,16.667,,,0.0000,,
20260309T100953_4da63b,2,33.333,,,0.0000,,
20260309T100953_4da63b,3,50.000,,,0.0000,,
20260309T100953_4da63b,4,66.667,,,0.0000,,
20260309T100953_4da63b,5,83.333,,,0.0000,,
20260309T100953_4da63b,6,100.000,,,0.0000,,
20260309T100953_4da63b,7,116.667,,,0.0000,,
20260309T100953_4da63b,8,133.333,,,0.0000,,
20260309T100953_4da63b,9,150.000,,,0.0000,,
20260309T100953_4da63b,10,166.667,,,0.0000,,
20260309T100953_4da63b,11,183.333,,,0.0000,,
20260309T100953_4da63b,12,200.000,,,0.0000,,
20260309T100953_4da63b,13,216.667,,,0.0000,,
20260309T100953_4da63b,14,233.333,,,0.0000,,
20260309T100953_4da63b,15,250.000,,,0.0000,,
20260309T100953_4da63b,16,266.667,,,0.0000,,
20260309T100953_4da63b,17,283.333,,,0.0000,,
20260309T100953_4da63b,18,300.000,,,0.0000,,
20260309T100953_4da63b,19,316.667,,,0.0000,,
20260309T100953_4da63b,20,333.333,,,0.0000,,
20260309T100953_4da63b,21,350.000,,,0.0000,,
20260309T100953_4da63b,22,366.667,,,0.0000,,
20260309T100953_4da63b,23,383.333,,,0.0000,,
20260309T100953_4da63b,24,400.000,,,0.0000,,
20260309T100953_4da63b,25,416.667,,,0.0000,,
20260309T100953_4da63b,26,433.333,,,0.0000,,
20260309T100953_4da63b,27,450.000,,,0.0000,,
20260309T100953_4da63b,28,466.667,,,0.0000,,
20260309T100953_4da63b,29,483.333,,,0.0000,,
20260309T100953_4da63b,30,500.000,,,0.0000,,
20260309T100953_4da63b,31,516.667,,,0.0000,,
20260309T100953_4da63b,32,533.333,,,0.0000,,
20260309T100953_4da63b,33,550.000,,,0.0000,,
20260309T100953_4da63b,34,566.667,,,0.0000,,
20260309T100953_4da63b,35,583.333,,,0.0000,,
20260309T100953_4da63b,36,600.000,,,0.0000,,
20260309T100953_4da63b,37,616.667,,,0.0000,,
20260309T100953_4da63b,38,633.333,,,0.0000,,
20260309T100953_4da63b,39,650.000,,,0.0000,,
20260309T100953_4da63b,40,666.667,,,0.0000,,
20260309T100953_4da63b,41,683.333,,,0.0000,,
20260309T100953_4da63b,42,700.000,,,0.0000,,
20260309T100953_4da63b,43,716.667,,,0.0000,,
20260309T100953_4da63b,44,733.333,,,0.0000,,
20260309T100953_4da63b,45,750.000,,,0.0000,,
20260309T100953_4da63b,46,766.667,,,0.0000,,
20260309T100953_4da63b,47,783.333,,,0.0000,,
20260309T100953_4da63b,48,800.000,,,0.0000,,
20260309T100953_4da63b,49,816.667,,,0.0000,,
20260309T100953_4da63b,50,833.333,,,0.0000,,
20260309T100953_4da63b,51,850.000,,,0.0000,,
20260309T100953_4da63b,52,866.667,,,0.0000,,
20260309T100953_4da63b,53,883.333,,,0.0000,,
20260309T100953_4da63b,54,900.000,,,0.0000,,
20260309T100953_4da63b,55,916.667,,,0.0000,,
20260309T100953_4da63b,56,933.333,,,0.0000,,
20260309T100953_4da63b,57,950.000,,,0.0000,,
20260309T100953_4da63b,58,966.667,,,0.0000,,
20260309T100953_4da63b,59,983.333,,,0.0000,,
20260309T100953_4da63b,60,1000.000,,,0.0000,,
20260309T100953_4da63b,61,1016.667,,,0.0000,,
20260309T100953_4da63b,62,1033.333,,,0.0000,,
20260309T100953_4da63b,63,1050.000,,,0.0000,,
20260309T100953_4da63b,64,1066.667,,,0.0000,,
20260309T100953_4da63b,65,1083.333,,,0.0000,,
20260309T100953_4da63b,66,1100.000,,,0.0000,,
20260309T100953_4da63b,67,1116.667,,,0.0000,,
20260309T100953_4da63b,68,1133.333,,,0.0000,,
20260309T100953_4da63b,69,1150.000,,,0.0000,,
20260309T100953_4da63b,70,1166.667,,,0.0000,,
20260309T100953_4da63b,71,1183.333,,,0.0000,,
20260309T100953_4da63b,72,1200.000,,,0.0000,,
20260309T100953_4da63b,73,1216.667,,,0.0000,,
20260309T100953_4da63b,74,1233.333,,,0.0000,,
20260309T100953_4da63b,75,1250.000,,,0.0000,,
20260309T100953_4da63b,76,1266.667,,,0.0000,,
20260309T100953_4da63b,77,1283.333,,,0.0000,,
20260309T100953_4da63b,78,1300.000,,,0.0000,,
20260309T100953_4da63b,79,1316.667,,,0.0000,,
20260309T100953_4da63b,80,1333.333,,,0.0000,,
20260309T100953_4da63b,81,1350.000,,,0.0000,,
20260309T100953_4da63b,82,1366.667,,,0.0000,,
20260309T100953_4da63b,83,1383.333,,,0.0000,,
20260309T100953_4da63b,84,1400.000,,,0.0000,,
20260309T100953_4da63b,85,1416.667,,,0.0000,,
20260309T100953_4da63b,86,1433.333,,,0.0000,,
20260309T100953_4da63b,87,1450.000,,,0.0000,,
20260309T100953_4da63b,88,1466.667,,,0.0000,,
20260309T100953_4da63b,89,1483.333,,,0.0000,,
20260309T100953_4da63b,90,1500.000,,,0.0000,,
20260309T100953_4da63b,91,1516.667,,,0.0000,,
20260309T100953_4da63b,92,1533.333,,,0.0000,,
20260309T100953_4da63b,93,1550.000,,,0.0000,,
20260309T100953_4da63b,94,1566.667,,,0.0000,,
20260309T100953_4da63b,95,1583.333,,,0.0000,,
20260309T100953_4da63b,96,1600.000,,,0.0000,,
20260309T100953_4da63b,97,1616.667,,,0.0000,,
20260309T100953_4da63b,98,1633.333,,,0.0000,,
20260309T100953_4da63b,99,1650.000,,,0.0000,,
20260309T100953_4da63b,100,1666.667,,,0.0000,,
20260309T100953_4da63b,101,1683.333,,,0.0000,,
20260309T100953_4da63b,102,1700.000,,,0.0000,,
20260309T100953_4da63b,103,1716.667,,,0.0000,,
20260309T100953_4da63b,104,1733.333,,,0.0000,,
20260309T100953_4da63b,105,1750.000,,,0.0000,,
20260309T100953_4da63b,106,1766.667,,,0.0000,,
20260309T100953_4da63b,107,1783.333,,,0.0000,,
20260309T100953_4da63b,108,1800.000,,,0.0000,,
20260309T100953_4da63b,109,1816.667,,,0.0000,,
20260309T100953_4da63b,110,1833.333,,,0.0000,,
20260309T100953_4da63b,111,1850.000,,,0.0000,,
20260309T100953_4da63b,112,1866.667,,,0.0000,,
20260309T100953_4da63b,113,1883.333,,,0.0000,,
20260309T100953_4da63b,114,1900.000,,,0.0000,,
20260309T100953_4da63b,115,1916.667,,,0.0000,,
20260309T100953_4da63b,116,1933.333,,,0.0000,,
20260309T100953_4da63b,117,1950.000,,,0.0000,,
20260309T100953_4da63b,118,1966.667,,,0.0000,,
20260309T100953_4da63b,119,1983.333,,,0.0000,,
20260309T100953_4da63b,120,2000.000,,,0.0000,,
20260309T100953_4da63b,121,2016.667,,,0.0000,,
20260309T100953_4da63b,122,2033.333,,,0.0000,,
20260309T100953_4da63b,123,2050.000,,,0.0000,,
20260309T100953_4da63b,124,2066.667,,,0.0000,,
20260309T100953_4da63b,125,2083.333,,,0.0000,,
20260309T100953_4da63b,126,2100.000,,,0.0000,,
20260309T100953_4da63b,127,2116.667,,,0.0000,,
20260309T100953_4da63b,128,2133.333,,,0.0000,,
20260309T100953_4da63b,129,2150.000,,,0.0000,,
20260309T100953_4da63b,130,2166.667,,,0.0000,,
20260309T100953_4da63b,131,2183.333,,,0.0000,,
20260309T100953_4da63b,132,2200.000,,,0.0000,,
20260309T100953_4da63b,133,2216.667,,,0.0000,,
20260309T100953_4da63b,134,2233.333,,,0.0000,,
20260309T100953_4da63b,135,2250.000,,,0.0000,,
20260309T100953_4da63b,136,2266.667,,,0.0000,,
20260309T100953_4da63b,137,2283.333,,,0.0000,,
20260309T100953_4da63b,138,2300.000,,,0.0000,,
