session_id,frame_id,timestamp_ms,stagger_mm,diameter_mm,confidence,anomaly_types,anomaly_severities
20260309T101133_5e64f1,0,0.000,,,0.0000,,
20260309T101133_5e64f1,1,16.667,,,0.0000,,
20260309T101133_5e64f1,2,33.333,,,0.0000,,
20260309T101133_5e64f1,3,50.000,,,0.0000,,
20260309T101133_5e64f1,4,66.667,,,0.0000,,
20260309T101133_5e64f1,5,83.333,,,0.0000,,
20260309T101133_5e64f1,6,100.000,,,0.0000,,
20260309T101133_5e64f1,7,116.667,,,0.0000,,
20260309T101133_5e64f1,8,133.333,,,0.0000,,
20260309T101133_5e64f1,9,150.000,,,0.0000,,
20260309T101133_5e64f1,10,166.667,,,0.0000,,
20260309T101133_5e64f1,11,183.333,,,0.0000,,
20260309T101133_5e64f1,12,200.000,,,0.0000,,
20260309T101133_5e64f1,13,216.667,,,0.0000,,
20260309T101133_5e64f1,14,233.333,,,0.0000,,
20260309T101133_5e64f1,15,250.000,,,0.0000,,
20260309T101133_5e64f1,16,266.667,,,0.0000,,
20260309T101133_5e64f1,17,283.333,,,0.0000,,
20260309T101133_5e64f1,18,300.000,,,0.0000,,
20260309T101133_5e64f1,19,316.667,,,0.0000,,
20260309T101133_5e64f1,20,333.333,,,0.0000,,
20260309T101133_5e64f1,21,350.000,,,0.0000,,
20260309T101133_5e64f1,22,366.667,,,0.0000,,
20260309T101133_5e64f1,23,383.333,,,0.0000,,
20260309T101133_5e64f1,24,400.000,,,0.0000,,
20260309T101133_5e64f1,25,416.667,,,0.0000,,
20260309T101133_5e64f1,26,433.333,,,0.0000,,
20260309T101133_5e64f1,27,450.000,,,0.0000,,
20260309T101133_5e64f1,28,466.667,,,0.0000,,
20260309T101133_5e64f1,29,483.333,,,0.0000,,
20260309T101133_5e64f1,30,500.000,,,0.0000,,
20260309T101133_5e64f1,31,516.667,,,0.0000,,
20260309T101133_5e64f1,32,533.333,,,0.0000,,
20260309T101133_5e64f1,33,550.000,,,0.0000,,
20260309T101133_5e64f1,34,566.667,,,0.0000,,
20260309T101133_5e64f1,35,583.333,,,0.0000,,
20260309T101133_5e64f1,36,600.000,,,0.0000,,
20260309T101133_5e64f1,37,616.667,,,0.0000,,
20260309T101133_5e64f1,38,633.333,,,0.0000,,
20260309T101133_5e64f1,39,650.000,,,0.0000,,
20260309T101133_5e64f1,40,666.667,,,0.0000,,
20260309T101133_5e64f1,41,683.333,,,0.0000,,
20260309T101133_5e64f1,42,700.000,,,0.0000,,
20260309T101133_5e64f1,43,716.667,,,0.0000,,
20260309T101133_5e64f1,44,733.333,,,0.0000,,
20260309T101133_5e64f1,45,750.000,,,0.0000,,
20260309T101133_5e64f1,46,766.667,,,0.0000,,
20260309T101133_5e64f1,47,783.333,,,0.0000,,
20260309T101133_5e64f1,48,800.000,,,0.0000,,
20260309T101133_5e64f1,49,816.667,,,0.0000,,
20260309T101133_5e64f1,50,833.333,,,0.0000,,
20260309T101133_5e64f1,51,850.000,,,0.0000,,
20260309T101133_5e64f1,52,866.667,,,0.0000,,
20260309T101133_5e64f1,53,883.333,,,0.0000,,
20260309T101133_5e64f1,54,900.000,,,0.0000,,
20260309T101133_5e64f1,55,916.667,,,0.0000,,
20260309T101133_5e64f1,56,933.333,,,0.0000,,
20260309T101133_5e64f1,57,950.000,,,0.0000,,
20260309T101133_5e64f1,58,966.667,,,0.0000,,
20260309T101133_5e64f1,59,983.333,,,0.0000,,
20260309T101133_5e64f1,60,1000.000,,,0.0000,,
20260309T101133_5e64f1,61,1016.667,,,0.0000,,
20260309T101133_5e64f1,62,1033.333,,,0.0000,,
20260309T101133_5e64f1,63,1050.000,,,0.0000,,
20260309T101133_5e64f1,64,1066.667,,,0.0000,,
20260309T101133_5e64f1,65,1083.333,,,0.0000,,
20260309T101133_5e64f1,66,1100.000,,,0.0000,,
20260309T101133_5e64f1,67,1116.667,,,0.0000,,
20260309T101133_5e64f1,68,1133.333,,,0.0000,,
20260309T101133_5e64f1,69,1150.000,,,0.0000,,
20260309T101133_5e64f1,70,1166.667,,,0.0000,,
20260309T101133_5e64f1,71,1183.333,,,0.0000,,
20260309T101133_5e64f1,72,1200.000,,,0.0000,,
20260309T101133_5e64f1,73,1216.667,,,0.0000,,
20260309T101133_5e64f1,74,1233.333,,,0.0000,,
20260309T101133_5e64f1,75,1250.000,,,0.0000,,
20260309T101133_5e64f1,76,1266.667,,,0.0000,,
20260309T101133_5e64f1,77,1283.333,,,0.0000,,
20260309T101133_5e64f1,78,1300.000,,,0.0000,,
20260309T101133_5e64f1,79,1316.667,,,0.0000,,
20260309T101133_5e64f1,80,1333.333,,,0.0000,,
20260309T101133_5e64f1,81,1350.000,,,0.0000,,
20260309T101133_5e64f1,82,1366.667,,,0.0000,,
20260309T101133_5e64f1,83,1383.333,,,0.0000,,
20260309T101133_5e64f1,84,1400.000,,,0.0000,,
20260309T101133_5e64f1,85,1416.667,,,0.0000,,
20260309T101133_5e64f1,86,1433.333,,,0.0000,,
20260309T101133_5e64f1,87,1450.000,,,0.0000,,
20260309T101133_5e64f1,88,1466.667,,,0.0000,,
20260309T101133_5e64f1,89,1483.333,,,0.0000,,
20260309T101133_5e64f1,90,1500.000,,,0.0000,,
20260309T101133_5e64f1,91,1516.667,,,0.0000,,
20260309T101133_5e64f1,92,1533.333,,,0.0000,,
20260309T101133_5e64f1,93,1550.000,,,0.0000,,
20260309T101133_5e64f1,94,1566.667,,,0.0000,,
20260309T101133_5e64f1,95,1583.333,,,0.0000,,
20260309T101133_5e64f1,96,1600.000,,,0.0000,,
20260309T101133_5e64f1,97,1616.667,,,0.0000,,
20260309T101133_5e64f1,98,1633.333,,,0.0000,,
20260309T101133_5e64f1,99,1650.000,,,0.0000,,
20260309T101133_5e64f1,100,1666.667,,,0.0000,,
20260309T101133_5e64f1,101,1683.333,,,0.0000,,
20260309T101133_5e64f1,102,1700.000,,,0.0000,,
20260309T101133_5e64f1,103,1716.667,,,0.0000,,
20260309T101133_5e64f1,104,1733.333,,,0.0000,,
20260309T101133_5e64f1,105,1750.000,,,0.0000,,
20260309T101133_5e64f1,106,1766.667,,,0.0000,,
20260309T101133_5e64f1,107,1783.333,,,0.0000,,
20260309T101133_5e64f1,108,1800.000,,,0.0000,,
20260309T101133_5e64f1,109,1816.667,,,0.0000,,
20260309T101133_5e64f1,110,1833.333,,,0.0000,,
20260309T101133_5e64f1,111,1850.000,,,0.0000,,
20260309T101133_5e64f1,112,1866.667,,,0.0000,,
20260309T101133_5e64f1,113,1883.333,,,0.0000,,
20260309T101133_5e64f1,114,1900.000,,,0.0000,,
20260309T101133_5e64f1,115,1916.667,,,0.0000,,
20260309T101133_5e64f1,116,1933.333,,,0.0000,,
20260309T101133_5e64f1,117,1950.000,,,0.0000,,
20260309T101133_5e64f1,118,1966.667,,,0.0000,,
20260309T101133_5e64f1,119,1983.333,,,0.0000,,
20260309T101133_5e64f1,120,2000.000,,,0.0000,,
20260309T101133_5e64f1,121,2016.667,,,0.0000,,
20260309T101133_5e64f1,122,2033.333,,,0.0000,,
20260309T101133_5e64f1,123,2050.000,,,0.0000,,
20260309T101133_5e64f1,124,2066.667,,,0.0000,,
20260309T101133_5e64f1,125,2083.333,,,0.0000,,
20260309T101133_5e64f1,126,2100.000,,,0.0000,,
20260309T101133_5e64f1,127,2116.667,,,0.0000,,
20260309T101133_5e64f1,128,2133.333,,,0.0000,,
20260309T101133_5e64f1,129,2150.000,,,0.0000,,
20260309T101133_5e64f1,130,2166.667,,,0.0000,,
20260309T101133_5e64f1,131,2183.333,,,0.0000,,
20260309T101133_5e64f1,132,2200.000,,,0.0000,,
20260309T101133_5e64f1,133,2216.667,,,0.0000,,
20260309T101133_5e64f1,134,2233.333,,,0.0000,,
20260309T101133_5e64f1,135,2250.000,,,0.0000,,
20260309T101133_5e64f1,136,2266.667,,,0.0000,,
20260309T101133_5e64f1,137,2283.333,,,0.0000,,
20260309T101133_5e64f1,138,2300.000,,,0.0000,,
20260309T101133_5e64f1,139,2316.667,,,0.0000,,
20260309T101133_5e64f1,140,2333.333,,,0.0000,,
20260309T101133_5e64f1,141,2350.000,,,0.0000,,
20260309T101133_5e64f1,142,2366.667,,,0.0000,,
20260309T101133_5e64f1,143,2383.333,,,0.0000,,
20260309T101133_5e64f1,144,2400.000,,,0.0000,,
20260309T101133_5e64f1,145,2416.667,,,0.0000,,
20260309T101133_5e64f1,146,2433.333,,,0.0000,,
20260309T101133_5e64f1,147,2450.000,,,0.0000,,
20260309T101133_5e64f1,148,2466.667,,,0.0000,,
20260309T101133_5e64f1,149,2483.333,,,0.0000,,
20260309T101133_5e64f1,150,2500.000,,,0.0000,,
20260309T101133_5e64f1,151,2516.667,,,0.0000,,
20260309T101133_5e64f1,152,2533.333,,,0.0000,,
20260309T101133_5e64f1,153,2550.000,,,0.0000,,
20260309T101133_5e64f1,154,2566.667,,,0.0000,,
20260309T101133_5e64f1,155,2583.333,,,0.0000,,
20260309T101133_5e64f1,156,2600.000,,,0.0000,,
20260309T101133_5e64f1,157,2616.667,,,0.0000,,
20260309T101133_5e64f1,158,2633.333,,,0.0000,,
20260309T101133_5e64f1,159,2650.000,,,0.0000,,
20260309T101133_5e64f1,160,2666.667,,,0.0000,,
20260309T101133_5e64f1,161,2683.333,,,0.0000,,
20260309T101133_5e64f1,162,2700.000,,,0.0000,,
20260309T101133_5e64f1,163,2716.667,,,0.0000,,
20260309T101133_5e64f1,164,2733.333,,,0.0000,,
20260309T101133_5e64f1,165,2750.000,,,0.0000,,
20260309T101133_5e64f1,166,2766.667,,,0.0000,,
