frame_id,timestamp_ms,stagger_mm,diameter_mm,confidence,anomalies
0,0.0,,,0.000,
1,16.7,,,0.000,
2,33.3,,,0.000,
3,50.0,,,0.000,
4,66.7,,,0.000,
5,83.3,,,0.000,
6,100.0,,,0.000,
7,116.7,,,0.000,
8,133.3,,,0.000,
9,150.0,,,0.000,
10,166.7,,,0.000,
11,183.3,,,0.000,
12,200.0,,,0.000,
13,216.7,,,0.000,
14,233.3,,,0.000,
15,250.0,,,0.000,
16,266.7,,,0.000,
17,283.3,,,0.000,
18,300.0,,,0.000,
19,316.7,,,0.000,
20,333.3,,,0.000,
21,350.0,,,0.000,
22,366.7,,,0.000,
23,383.3,,,0.000,
24,400.0,,,0.000,
25,416.7,,,0.000,
26,433.3,,,0.000,
27,450.0,,,0.000,
28,466.7,,,0.000,
29,483.3,,,0.000,
30,500.0,,,0.000,
31,516.7,,,0.000,
32,533.3,,,0.000,
33,550.0,,,0.000,
34,566.7,,,0.000,
35,583.3,,,0.000,
36,600.0,,,0.000,
37,616.7,,,0.000,
38,633.3,,,0.000,
39,650.0,,,0.000,
40,666.7,,,0.000,
41,683.3,,,0.000,
42,700.0,,,0.000,
43,716.7,,,0.000,
44,733.3,,,0.000,
45,750.0,,,0.000,
46,766.7,,,0.000,
47,783.3,,,0.000,
48,800.0,,,0.000,
49,816.7,,,0.000,
50,833.3,,,0.000,
51,850.0,,,0.000,
52,866.7,,,0.000,
53,883.3,,,0.000,
54,900.0,,,0.000,
55,916.7,,,0.000,
56,933.3,,,0.000,
57,950.0,,,0.000,
58,966.7,,,0.000,
59,983.3,,,0.000,
60,1000.0,,,0.000,
61,1016.7,,,0.000,
62,1033.3,,,0.000,
63,1050.0,,,0.000,
64,1066.7,,,0.000,
65,1083.3,,,0.000,
66,1100.0,,,0.000,
67,1116.7,,,0.000,
68,1133.3,,,0.000,
69,1150.0,,,0.000,
70,1166.7,,,0.000,
71,1183.3,,,0.000,
72,1200.0,,,0.000,
73,1216.7,,,0.000,
74,1233.3,,,0.000,
75,1250.0,,,0.000,
76,1266.7,,,0.000,
77,1283.3,,,0.000,
78,1300.0,,,0.000,
79,1316.7,,,0.000,
80,1333.3,,,0.000,
81,1350.0,,,0.000,
82,1366.7,,,0.000,
83,1383.3,,,0.000,
84,1400.0,,,0.000,
85,1416.7,,,0.000,
86,1433.3,,,0.000,
87,1450.0,,,0.000,
